00:00.476  blend            | Read blend: "/Users/yl222/Desktop/UrbanWorldModelVisualizer/geometry_expansion/output/batch11_v1/master.blend"
12:21:15 | INFO: Data are loaded, start creating Blender stuff
12:21:15 | INFO: Blender create Mesh node finite entry approach from audited ground.002
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | complete concave roof deck
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | door hardware
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | door recessed lower panel
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | door recessed upper panel
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | entrance leaves
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | entry transom
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | flush threshold
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | low mews roof parapet
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | painted sash frames
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | pierced muted masonry facades
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | plain brick plinth
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | plain eaves and floor course
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | plain entrance jambs
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | plain entrance lintel
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | plain sash mullions
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | plain sash transoms
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | recessed mews sash glazing
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | shallow parapet coping
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | stone window sills
12:21:15 | INFO: Blender create Mesh node 1 Princes Gate Mews | subtle brick headers
12:21:15 | INFO: Blender create Mesh node finite entry approach from audited ground
12:21:15 | INFO: Blender create Mesh node 69–70 Princes Gate | capital volutes
12:21:15 | INFO: Blender create Mesh node 69–70 Princes Gate | central window pediments
12:21:15 | INFO: Blender create Mesh node 69–70 Princes Gate | door glass fanlight
12:21:15 | INFO: Blender create Mesh node 69–70 Princes Gate | door handle
12:21:15 | INFO: Blender create Mesh node 69–70 Princes Gate | door transom
12:21:15 | INFO: Blender create Mesh node 69–70 Princes Gate | eaves brackets
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | first balcony deck
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | first balcony rail
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | front cornice
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | full polygon roof basecap
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | inward eaves
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | lintels
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | low parapet
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | mansard slopes
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | mansard top deck
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | mitred coping
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | painted joinery
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | paired house pilasters
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | pierced masonry
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | projecting sills
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | recessed door
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | recessed glazing
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | rustication courses
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | second balcony balusters
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | second balcony deck
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | second balcony rail
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | simplified Corinthian capital
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | threshold
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | turned balcony balusters
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | upper sash meeting rail
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | window mullions
12:21:16 | INFO: Blender create Mesh node 69–70 Princes Gate | window transoms
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | architrave head
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | architrave upright
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | central second floor pediment
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | complete concave mapped roof deck
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | continuous first floor balcony deck
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | continuous first floor balustrade rail
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | continuous mitred contained stringcourse
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | cornice modillions
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | cornice window hoods
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | door leaf panel mouldings
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | door leaf transom rail
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | Doric porch columns
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | Doric porch entablature
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | Doric triglyphs
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | entrance glazed transom
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | entrance head frame
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | entrance jamb
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | entrance lantern casing
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | entrance lantern glazing
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | entrance stone head
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | entrance stone surrounds
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | estimated concave mansard slopes
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | estimated concave mansard upper deck
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | first floor bottle balusters
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | first floor Corinthian shafts
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | first floor French casement mullion
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | front bracketed frieze
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | front projecting cornice
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | ground stucco channel courses
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | pierced wall lintel infill
12:21:16 | INFO: Blender create Mesh node 71-72 Princes Gate | pierced wall piers
